Draft Projection
Round 1 (top 10)
Round 1 (top 10)
Round 1 (top 10)
Round 1 (top 10)
Round 1 (top 10)
Round 1 (top 15)
Round 1 (top 10)
Round 1 (top 15)
Round 1
Round 1
NA
Round 1 (top 20)
Rounds 1-2
Rounds 1-2
Rounds 1-2
Round 1
Rounds 1-2
Rounds 1-2
Round 1
Round 1
Rounds 1-2
Rounds 1-2
Round 1
Rounds 1-2 (top 50)
Rounds 1-2
Rounds 1-2
Rounds 1-2
Round 1
Rounds 1-2
Rounds 1-2
Rounds 1-2
Rounds 1-2
Rounds 2-3
Rounds 1-2
Rounds 1-2
Rounds 2-3
Rounds 2-3
Rounds 2-3
Rounds 2-3
Rounds 1-2
NA
Rounds 2-3
Rounds 2-3
Rounds 2-3
Round 2
Rounds 2-3
NA
Rounds 2-3
Rounds 2-3
Rounds 2-3
Rounds 3-4
Rounds 2-3
Rounds 2-3
Rounds 2-3
Rounds 3-4
Rounds 3-4
Rounds 2-3
Rounds 2-3
Rounds 2-3
Rounds 2-3
Rounds 2-3
Rounds 2-3
Rounds 3-4
Rounds 2-3
Rounds 2-3
Rounds 2-3
Rounds 2-3
Rounds 3-4
Rounds 3-4
Rounds 2-3
Rounds 3-4
Rounds 2-3
Rounds 2-3
Rounds 3-4
Rounds 2-3
Rounds 3-4
Rounds 3-4
Rounds 4-5
Rounds 3-4
Rounds 3-4
Rounds 2-3
Rounds 4-5
Rounds 3-4
Rounds 3-4
Rounds 3-4
Rounds 2-3
Rounds 4-5
Rounds 2-3
Rounds 3-4
Rounds 3-4
Rounds 4-5
Rounds 4-5
Rounds 4-5
Rounds 2-3
Rounds 3-4
Rounds 3-4
Rounds 3-4
Rounds 3-4
Rounds 2-3
Rounds 3-4
Rounds 3-4
Rounds 3-4
Rounds 3-4
Rounds 3-4
Rounds 2-3
Rounds 3-4
Rounds 3-4
Rounds 3-4
Rounds 3-4
Rounds 3-4
Rounds 4-5
Rounds 5-6
NA
NA
Rounds 4-5
Rounds 5-6
Rounds 5-6
Rounds 4-5
Rounds 3-4
Rounds 6-7
Rounds 3-4
Rounds 5-6
Rounds 4-5
Rounds 5-6
Rounds 3-4
Rounds 4-5
Rounds 4-5
Rounds 5-6
Rounds 5-6
Rounds 4-5
Rounds 4-5
Rounds 5-6
Rounds 4-5
Round 5
Rounds 4-5
Rounds 4-5
NA
Rounds 4-5
Rounds 4-5
Rounds 5-6
Rounds 4-5
Rounds 4-5
Rounds 4-5
Rounds 4-5
Rounds 4-5
Rounds 5-6
Rounds 4-5
Rounds 4-5
Rounds 4-5
Rounds 5-6
Rounds 5-6
Rounds 5-6
Rounds 6-7
Rounds 5-6
Rounds 4-5
Rounds 4-5
Rounds 4-5
Rounds 4-5
Priority free agent
Rounds 4-5
Rounds 4-5
Rounds 5-6
Rounds 2-3
Rounds 5-6
Rounds 4-5
Rounds 4-5
Rounds 5-6
Rounds 4-5
Rounds 5-6
Rounds 4-5
Rounds 4-5
Rounds 3-4
Rounds 4-5
Rounds 4-5
Rounds 5-6
Rounds 6-7
Round 7-Priority free agent
Rounds 3-4
Rounds 3-4
Rounds 4-5
Rounds 4-5
Rounds 4-5
Rounds 5-6
Rounds 4-5
Rounds 4-5
Rounds 4-5
Rounds 4-5
Rounds 5-6
Rounds 3-4
Rounds 5-6
NA
Rounds 3-4
Rounds 3-4
Rounds 5-6
Rounds 4-5
Rounds 3-4
Rounds 5-6
Rounds 5-6
Rounds 4-5
Rounds 4-5
Rounds 3-4
Rounds 4-5
Rounds 5-6
Rounds 3-4
Rounds 4-5
Rounds 6-7
Rounds 6-7
Rounds 3-4
Rounds 5-6
Rounds 4-5
Rounds 5-6
Rounds 6-7
Rounds 4-5
Rounds 6-7
Rounds 4-5
NA
Rounds 5-6
Priority free agent
Rounds 6-7
NA
Rounds 6-7
NA
Round 6
NA
Rounds 6-7
Rounds 6-7
Rounds 6-7
Round 7-Priority free agent
NA
NA
Rounds 6-7
Round 7-Priority free agent
Rounds 5-6
NA
Round 7-Priority free agent
NA
Round 7-Priority free agent
Round 7-Priority free agent
Rounds 6-7
Rounds 6-7
Priority free agent
Rounds 6-7
Rounds 6-7
Round 7-priority free agent
Rounds 6-7
Rounds 6-7
Rounds 5-6
Round 7-Priority free agent
Rounds 5-6
Rounds 6-7
Rounds 6-7
Priority free agent
Rounds 5-6
Rounds 6-7
Rounds 5-6
NA
NA
Rounds 5-6
Rounds 6-7
Rounds 6-7
Rounds 6-7
Rounds 6-7
Round 7-Priority free agent
NA
Round 7-Priority free agent
Round 7-priority free agent
Round 7-Priority free agent
Priority free agent
Rounds 6-7
Rounds 5-6
Round 7-Priority free agent
NA
NA
Rounds 6-7
NA
Rounds 5-6
NA
Rounds 6-7
NA
Rounds 6-7
Priority free agent
Rounds 5-6
Round 7-priority free agent
Rounds 5-6
Rounds 6-7
Rounds 5-6
NA
NA
NA
Rounds 6-7
NA
Priority free agent
Round 7-Priority free agent
Rounds 5-6
Rounds 5-6
Rounds 6-7
Rounds 6-7
Rounds 6-7
NA
NA
NA
Rounds 6-7
Rounds 6-7
NA
