Bio,Grades
"A physical specimen with a rare size-speed combination, Clowney was not as impactful as a junior while playing through injuries and being forced to deal with opposing offenses that fully accounted for him with extra chip protection. Was a 20-year-old junior affected by turnover on the defensive coaching staff. Could benefit tremendously from a stable positional coach and strong, veteran mentor on the defensive line who will hold him accountable, show him the way and serve as a fatherly figure. Is one of the most unique talents in the draft and could easily be a double-digit sack producer in the pros from either end. Is every bit worthy of the first overall pick -- will immediately upgrade a defensive line and improve the production of those around him.",7.50
"A legitimate No. 1-caliber receiver who stepped onto the field as a true freshman and made an immediate, game-changing impact. Was slowed by injuries as a sophomore, but responded with a strong junior season and capped his career as one of the most impactful receivers in school history. Has rare speed, soft hands and the big-play ability to challenge NFL defensive backs as a rookie. A top-10 cinch.",7.10
"A highly disruptive, athletic specimen with the pass-rush potential to effortlessly emerge as a double-digit sack producer. Is far from a finished product and his best football is still ahead of him, yet he plays the game with more of an offensive temperament and could require some patience. Is the type of rare athlete that could even contribute as an offensive playmaker once he learns to grasp defensive concepts and the game slows down for him. A top-10 talent.",7.00
"A havoc-wreaking rush linebacker with the burst and acceleration to excel as a right defensive end in a ""40"" front, Mack has demonstrated the instincts, toughness, athletic ability and explosive power to line up at any linebacker position in an even or odd front and factor readily. Is a four-year starter who made an immediate impact upon his arrival and is well primed for the NFL game. Looks every bit the part, comes from a humble, grounded family and offers the full package to become an impact performer in the pros.",7.00
"Smart, tough, versatile franchise left tackle capable of playing all five positions on the line. Can plug into a starting lineup immediately and will play a long time at a consistently high level. One of the safest picks in the draft, Matthews' best position might even be center.",7.00
"Smart, instinctive, fast-flowing, every-down linebacker capable of manning any position in a ""40"" front or steering a defense from the weak side in a ""30"" front, where he starred for a national-championship defense as a junior and carried the Tide as a senior. Has the football temperament, desire and work habits to emerge as a tackling machine in the pros. Has Pro Bowl potential.",7.00
"Big, strong, athletic, overpowering left tackle with the raw potential to become a premiere, franchise left tackle. Is only a third-year sophomore and two-year starter and still must improve his hand use, footwork and technique. However, he is undeniably gifted and capable of walking into a starting-left-tackle job in the pros and paving the way in the run game.",7.00
"A monster-sized, intimidating, big-play receiver, Benjamin has the overall strength, length and wide catching radius that will demand extra coverage be rolled his way. Showed continual improvement, is still growing into the position, and possesses the traits to become a legitimate No. 1 receiver. A very intriguing mismatch weapon with ascending talent.",6.80
"Big, athletic, ascending quarterback with enough arm talent and intangibles to develop into a franchise starter. Is not yet a finished product and scouts' opinions vary on his ceiling, but elements of Bortles’ skill set compare to some of the best in the game today, and his best football is ahead of him.",6.80
"A calculated, football-smart, precision-matchup rhythm passer, Bridgewater would be best suited entering a warm-weather or dome environment such as those most common in the South divisions. Would stand to benefit heavily from operating a short, dink-and-dunk rhythm passing game. Compensates for a lack of elite arm talent and prototype measureables with the intangibles and football intelligence that could elevate the other 52 players around him. Instinctive passer with the laser-beam determination to become a Pro Bowl-caliber passer in the right system.",6.80
"Highly athletic, highly productive ""F"" tight end dripping with upside and mismatch capability. Ebron might not be in the ""freak"" category, but his speed, movement skills, hands and run-after-catch skill puts him in the next tier, as he has ample ability to be a playmaker at the next level.",6.80
NA,NA
"A big, fast, athletic, man-cover corner capable of locking down receivers and creating big plays in the return game. Is the most physically gifted cover man in this year's draft and has the athletic talent to walk into a starting job and match up with big receivers from Day One if he continues to work at his craft after a big payday and prepares like a pro.",6.80
"Hulking, long-armed, physically gifted defensive lineman with desirable size, strength, athleticism and versatility to appeal as a five-technique or as a defensive tackle or base end in a 4-3. Was not in peak condition for his junior season, but has disruptive upside.",6.80
"Lean, athletic, physical, instinctive free safety with starter-caliber range, coverage skills and tackling ability. Was not an omnipresent ballhawk or violent eraser, but should step into a starting role right away and solidify the position.",6.70
"A prep hoopster with shooting-guard size, Evans combined with Johnny Manziel to form one of the most dominant quarterback-receiver connections in the nation the last two seasons. He’s a big, physical, strong-handed, West Coast possession receiver with playmaking ability who projects as a No. 2 in the pros where he will make his money as a chain mover and red-zone target.",6.70
